"Namespace(convex=False, dataset='MNIST', gamma=1.5, no_cuda=False, pollute_rate=0.5, rho=1.0, seed=0, x_loop=500, x_lr=0.6, y_loop=1, y_lr=0.6)"
,acc,F1 score,total_hyper_time,total_time,Val loss,Val acc,p,r
0,13.0,66.6666657777778,0,0,2.2973439693450928,13.0,49.99999950000001,100.0,0.40656965974059917
10,80.10000000000001,3.883494616577444,0.0176236629486084,0.12177848815917969,0.9029346704483032,81.08,4.759140894975598,3.2800000000000002,0.40656965974059917
20,77.44,39.87692210840237,0.030951261520385742,0.1813647747039795,1.2691766023635864,79.25999999999999,86.39999424000038,25.919999999999998,0.40656965974059917
30,86.26,76.36918915754126,0.04748845100402832,0.2532949447631836,1.0029370784759521,87.16000000000001,84.01344013409889,70.0,0.40656965974059917
40,87.58,83.45788595270616,0.05835771560668945,0.31084632873535156,0.9674843549728394,89.05999999999999,84.29212394344913,82.64,0.40656965974059917
50,88.48,85.84331301044246,0.07121920585632324,0.37078094482421875,0.9274423718452454,90.10000000000001,84.30389347659288,87.44,0.40656965974059917
60,89.35,87.3505578563069,0.08628678321838379,0.4316272735595703,0.9045483469963074,90.98,84.3261339477637,90.60000000000001,0.40656965974059917
70,90.08,88.14659152101963,0.10095500946044922,0.4914586544036865,0.8867818117141724,91.75999999999999,84.30083818362836,92.36,0.40656965974059917
80,90.38000000000001,88.87200777252524,0.11665630340576172,0.5583531856536865,0.8639945387840271,92.42,84.5986969523012,93.60000000000001,0.40656965974059917
90,90.78,89.06161003158061,0.13013625144958496,0.6235909461975098,0.8476025462150574,93.04,84.64864712344779,93.96,0.40656965974059917
100,91.13,89.34720773847191,0.14401793479919434,0.6994531154632568,0.8332675695419312,93.58,84.77558196094105,94.44,0.40656965974059917
110,91.35,89.45179449723236,0.15522408485412598,0.7633183002471924,0.8198226690292358,94.0,84.80286586374791,94.64,0.40656965974059917
120,91.3,89.68779430100183,0.16729235649108887,0.8283576965332031,0.8117247223854065,94.28,85.0987417396994,94.8,0.40656965974059917
130,91.5,89.81831810649436,0.18065595626831055,0.8887050151824951,0.8019348382949829,94.56,85.2370674346791,94.92,0.40656965974059917
140,91.59,89.92805620411302,0.19309473037719727,0.9483506679534912,0.7944307327270508,94.69999999999999,85.37023570506405,95.0,0.40656965974059917
150,92.06,90.09281925804731,0.20424532890319824,1.0123987197875977,0.7834726572036743,95.17999999999999,85.57034750683074,95.12,0.40656965974059917
160,92.22,90.2272713742539,0.21440935134887695,1.071812391281128,0.7747812867164612,95.36,85.68345169634078,95.28,0.40656965974059917
170,92.43,90.45454409937443,0.22581028938293457,1.1329469680786133,0.7686996459960938,95.82000000000001,85.89927903058849,95.52000000000001,0.40656965974059917
180,92.43,90.50596794456544,0.23814082145690918,1.1935632228851318,0.7617670297622681,95.8,85.992076233488,95.52000000000001,0.40656965974059917
190,92.62,90.60249959041235,0.25000452995300293,1.253641128540039,0.7584019899368286,95.94,86.06911292172222,95.64,0.40656965974059917
200,92.80000000000001,90.71265974859479,0.26120853424072266,1.307680368423462,0.7474743723869324,96.14,86.2031684761677,95.72,0.40656965974059917
210,92.78,90.80917051891446,0.2716245651245117,1.3707079887390137,0.7414687275886536,96.36,86.28015689088662,95.84,0.40656965974059917
220,92.78999999999999,90.87459548998989,0.2812964916229248,1.4272913932800293,0.7410047054290771,96.38,86.43088981539353,95.8,0.40656965974059917
230,92.67,90.9504824177466,0.2954542636871338,1.4876635074615479,0.7366649508476257,96.64,86.50306592379887,95.88,0.40656965974059917
240,92.44,91.02636934550333,0.31005430221557617,1.5524191856384277,0.7367324829101562,96.78,86.57524203220422,95.96000000000001,0.40656965974059917
250,92.58999999999999,91.13347120117598,0.3241386413574219,1.6114418506622314,0.7308181524276733,96.98,86.73653619919521,96.0,0.40656965974059917
260,92.52,91.18205868803109,0.33469629287719727,1.6673166751861572,0.7259707450866699,96.98,86.85734817419717,95.96000000000001,0.40656965974059917
270,92.83,91.19604350961696,0.34830546379089355,1.727982759475708,0.7106523513793945,97.18,86.91554753686938,95.92,0.40656965974059917
280,92.96,91.25142503133482,0.3594982624053955,1.7892849445343018,0.7094731330871582,97.3,86.98331967035315,95.96000000000001,0.40656965974059917
290,92.78,91.32089699525977,0.3736081123352051,1.8470189571380615,0.7191355228424072,97.42,87.10965709677455,95.96000000000001,0.40656965974059917
300,92.25,91.37963707130449,0.386798620223999,1.9080359935760498,0.715829074382782,97.28,87.15063362703023,96.04,0.40656965974059917
310,93.13,91.40030304570382,0.39806175231933594,1.9627785682678223,0.7053788900375366,97.68,87.15529595146414,96.08,0.40656965974059917
320,92.63,91.34157808022988,0.4118478298187256,2.021754026412964,0.7100483179092407,97.58,87.11433598703563,96.0,0.40656965974059917
330,92.92,91.46666529668936,0.4266200065612793,2.083653211593628,0.6988353133201599,97.76,87.3090893216529,96.04,0.40656965974059917
340,93.11,91.48084482719105,0.43704652786254883,2.1389153003692627,0.6915678381919861,97.84,87.3680362692385,96.0,0.40656965974059917
350,93.10000000000001,91.52219333307225,0.44951701164245605,2.196589231491089,0.6852596402168274,97.89999999999999,87.37722649368449,96.08,0.40656965974059917
360,92.32000000000001,91.55385944814664,0.4610469341278076,2.258342742919922,0.7085613012313843,97.58,87.4681222683402,96.04,0.40656965974059917
370,93.21000000000001,91.67621092069425,0.47528767585754395,2.317396402359009,0.6802982687950134,98.26,87.6917441984707,96.04,0.40656965974059917
380,93.08,91.65552659997832,0.4902913570404053,2.376103639602661,0.6679035425186157,98.34,87.68724721068236,96.0,0.40656965974059917
390,93.32000000000001,91.6380284086494,0.5037522315979004,2.4397501945495605,0.6720448136329651,98.44000000000001,87.65522118964168,96.0,0.40656965974059917
400,93.05,91.65552659997832,0.5154695510864258,2.4958553314208984,0.679237961769104,98.24000000000001,87.68724721068236,96.0,0.40656965974059917
410,93.01,91.69054303786962,0.5290186405181885,2.5540764331817627,0.6587371826171875,98.38,87.75136951094386,96.0,0.40656965974059917
420,93.28999999999999,91.70489159095932,0.5415983200073242,2.615431308746338,0.6695088148117065,98.68,87.81112577212434,95.96000000000001,0.40656965974059917
430,92.63,91.68418902798528,0.5543289184570312,2.675098419189453,0.680880606174469,98.3,87.80666261796662,95.92,0.40656965974059917
440,92.34,91.7017194655777,0.5675098896026611,2.7344777584075928,0.6842980980873108,98.4,87.83882623005812,95.92,0.40656965974059917
450,92.93,91.7017194655777,0.5795989036560059,2.7932791709899902,0.6578726768493652,98.78,87.83882623005812,95.92,0.40656965974059917
460,92.82000000000001,91.75750483890594,0.5912325382232666,2.849868059158325,0.6708740592002869,98.7,87.90765687234048,95.96000000000001,0.40656965974059917
470,93.19,91.79575306955952,0.6047475337982178,2.9069621562957764,0.6608966588973999,98.76,87.94430033081164,96.0,0.40656965974059917
480,92.80000000000001,91.81331155323376,0.6178922653198242,2.969059705734253,0.6617904305458069,98.64,87.97653797696961,96.0,0.40656965974059917
490,93.13,91.8340013002131,0.6305952072143555,3.0286147594451904,0.6396116018295288,98.98,87.98094378928282,96.04,0.40656965974059917
