"Namespace(convex=False, dataset='MNIST', gamma=1.5, no_cuda=False, pollute_rate=0.5, rho=1.0, seed=0, x_loop=500, x_lr=0.5, y_loop=1, y_lr=0.5)"
,acc,F1 score,total_hyper_time,total_time,Val loss,Val acc,p,r
0,13.0,66.6666657777778,0,0,2.2973439693450928,13.0,49.99999950000001,100.0,0.4723665527410147
10,79.78,3.700189226728274,0.015402793884277344,0.12048768997192383,1.1223748922348022,80.42,4.545454413011235,3.1199999999999997,0.4723665527410147
20,72.92,8.336327371447874,0.02895355224609375,0.18404579162597656,1.011877179145813,73.14,40.98939205134416,4.64,0.4723665527410147
30,85.42,77.8629190650406,0.046248674392700195,0.24366545677185059,1.016954779624939,86.48,83.21200902611446,73.16,0.4723665527410147
40,86.99,83.7181515330712,0.05819439888000488,0.3027942180633545,0.9730030298233032,88.12,83.32012513232714,84.11999999999999,0.4723665527410147
50,87.66000000000001,86.41451043833858,0.07186627388000488,0.36110925674438477,0.9468715786933899,88.88000000000001,83.48247420800755,89.56,0.4723665527410147
60,88.35,87.65714152344673,0.08302927017211914,0.4211714267730713,0.9296025633811951,89.72,83.67272575140497,92.04,0.4723665527410147
70,88.84,88.31316054239497,0.09588027000427246,0.4813549518585205,0.9148064255714417,90.36,83.75179189828206,93.4,0.4723665527410147
80,89.34,88.53695190985376,0.10809993743896484,0.5444841384887695,0.9006438255310059,91.34,83.73751633848937,93.92,0.4723665527410147
90,89.91,88.70481794388587,0.11933279037475586,0.6031148433685303,0.8849207758903503,91.84,83.78378229402946,94.24,0.4723665527410147
100,90.32,89.01016050089743,0.1314535140991211,0.6584930419921875,0.8701545000076294,92.47999999999999,84.04406389402871,94.6,0.4723665527410147
110,90.61,89.18156028085728,0.1434476375579834,0.7143115997314453,0.8578134775161743,92.86,84.19182798948796,94.8,0.4723665527410147
120,90.75999999999999,89.20700563084236,0.15630102157592773,0.7756588459014893,0.8460982441902161,93.38,84.3004612976066,94.72,0.4723665527410147
130,90.93,89.20700563084236,0.1703660488128662,0.8345310688018799,0.8353580236434937,93.67999999999999,84.3004612976066,94.72,0.4723665527410147
140,91.14,89.37052259466593,0.1802654266357422,0.8900096416473389,0.8260288238525391,93.89999999999999,84.4975038400302,94.84,0.4723665527410147
150,91.3,89.60181031871016,0.19083189964294434,0.9530899524688721,0.8168898224830627,94.26,84.81600420121464,94.96,0.4723665527410147
160,91.57,89.78667035501091,0.20435881614685059,1.0075855255126953,0.8083407282829285,94.62,85.01966240579794,95.12,0.4723665527410147
170,91.73,89.91691708165145,0.2126471996307373,1.061354398727417,0.8012773990631104,94.96,85.15736614525453,95.24000000000001,0.4723665527410147
180,92.01,90.01321367928368,0.2227768898010254,1.1226239204406738,0.7946199774742126,95.1,85.23417795434075,95.36,0.4723665527410147
190,92.13,90.1360530716654,0.23418927192687988,1.1785330772399902,0.7880272269248962,95.38,85.42263457337688,95.39999999999999,0.4723665527410147
200,92.23,90.22129617046055,0.24663853645324707,1.233656406402588,0.7818054556846619,95.56,85.57588651639958,95.39999999999999,0.4723665527410147
210,92.36999999999999,90.29695344230036,0.2586545944213867,1.2931907176971436,0.7769414782524109,95.74000000000001,85.64764826609887,95.48,0.4723665527410147
220,92.42,90.34456509831496,0.2717719078063965,1.349217414855957,0.7706100344657898,95.82000000000001,85.76563469148752,95.44,0.4723665527410147
230,92.55,90.4716788869651,0.28534674644470215,1.4070377349853516,0.7672999501228333,95.96000000000001,85.93018917002179,95.52000000000001,0.4723665527410147
240,92.67999999999999,90.51315903073622,0.29591989517211914,1.4665577411651611,0.7605509161949158,96.04,85.94030769614692,95.6,0.4723665527410147
250,92.75,90.60249959041235,0.30789852142333984,1.519568681716919,0.7561072111129761,96.08,86.06911292172222,95.64,0.4723665527410147
260,92.80000000000001,90.71265974859479,0.319246768951416,1.5718660354614258,0.7509527802467346,96.22,86.2031684761677,95.72,0.4723665527410147
270,92.67,90.819422008734,0.3351552486419678,1.6306252479553223,0.7466939687728882,96.34,86.36363480585074,95.76,0.4723665527410147
280,92.42,90.819422008734,0.34571146965026855,1.6835265159606934,0.746411919593811,96.44,86.36363480585074,95.76,0.4723665527410147
290,92.86999999999999,90.92290027109252,0.3573744297027588,1.7359833717346191,0.7383987307548523,96.67999999999999,86.55097457427739,95.76,0.4723665527410147
300,92.94,91.04732804098228,0.3659853935241699,1.7943053245544434,0.7349677085876465,96.76,86.74393178660029,95.8,0.4723665527410147
310,93.0,91.04732804098228,0.3742702007293701,1.8459010124206543,0.7303703427314758,97.02,86.74393178660029,95.8,0.4723665527410147
320,92.94,91.00931245495315,0.38271045684814453,1.9011201858520508,0.7271165251731873,97.11999999999999,86.70771302593782,95.76,0.4723665527410147
330,92.84,90.98859179220462,0.3928070068359375,1.9706997871398926,0.7242945432662964,97.16,86.70289698001997,95.72,0.4723665527410147
340,93.07,91.00931245495315,0.40427660942077637,2.0303592681884766,0.7191030979156494,97.2,86.70771302593782,95.76,0.4723665527410147
350,93.06,91.09927592665765,0.4143946170806885,2.085111379623413,0.7158116698265076,97.42,86.83828704064018,95.8,0.4723665527410147
360,92.97,91.11322413378224,0.42612266540527344,2.1378512382507324,0.7134096622467041,97.54,86.89655014706804,95.76,0.4723665527410147
370,93.06,91.18934211593145,0.4419701099395752,2.197532892227173,0.7083740234375,97.58,86.96914542705724,95.84,0.4723665527410147
380,93.13,91.2828307603727,0.4525320529937744,2.251797676086426,0.7053631544113159,97.5,87.07334627680926,95.92,0.4723665527410147
390,93.16,91.35567266036978,0.4610147476196289,2.299720287322998,0.7023852467536926,97.72,87.17296353246795,95.96000000000001,0.4723665527410147
400,92.73,91.41115840981546,0.4710972309112549,2.352376937866211,0.7045526504516602,97.64,87.24100168591417,96.0,0.4723665527410147
410,93.28999999999999,91.46341326385081,0.4824850559234619,2.4113097190856934,0.6950753927230835,97.78,87.33624295239731,96.0,0.4723665527410147
420,93.26,91.47759634115201,0.4925038814544678,2.4642462730407715,0.6908884644508362,97.86,87.39526252467644,95.96000000000001,0.4723665527410147
430,93.26,91.49828303619017,0.5032727718353271,2.5181922912597656,0.6920900344848633,97.92,87.3998527421731,96.0,0.4723665527410147
440,92.96,91.53317940637254,0.5144445896148682,2.571398973464966,0.6925806403160095,98.02,87.46355525758828,96.0,0.4723665527410147
450,93.24,91.55385944814664,0.5269536972045898,2.631351947784424,0.6846479773521423,98.11999999999999,87.4681222683402,96.04,0.4723665527410147
460,93.17999999999999,91.58878367436431,0.5379147529602051,2.6870622634887695,0.6810922622680664,98.1,87.53189778469016,96.04,0.4723665527410147
470,92.75999999999999,91.58878367436431,0.551199197769165,2.7426488399505615,0.6924359202384949,97.96000000000001,87.53189778469016,96.04,0.4723665527410147
480,93.31,91.56488412352135,0.5616180896759033,2.7962446212768555,0.6749269366264343,98.32,87.55474292783315,95.96000000000001,0.4723665527410147
490,93.23,91.6937164029362,0.5745277404785156,2.853651762008667,0.679361879825592,98.4,87.72378356368682,96.04,0.4723665527410147
