"Namespace(convex=False, dataset='FashionMNIST', gamma=1.5, no_cuda=False, pollute_rate=0.5, rho=1.0, seed=0, x_loop=500, x_lr=0.5, y_loop=1, y_lr=0.5)"
,acc,F1 score,total_hyper_time,total_time,Val loss,Val acc,p,r
0,8.82,66.6666657777778,0,0,2.3000845909118652,8.38,49.99999950000001,100.0,0.4723665527410147
10,46.56,22.04132680385773,0.012916326522827148,0.11823129653930664,1.7132724523544312,45.28,50.720457440889234,14.08,0.4723665527410147
20,56.089999999999996,58.88300314516073,0.026340723037719727,0.17642760276794434,1.5340492725372314,56.84,73.94195665229879,48.92,0.4723665527410147
30,72.56,69.37014543308511,0.03715872764587402,0.23999381065368652,1.2299847602844238,72.26,75.28089711421121,64.32,0.4723665527410147
40,76.33,74.22807613455568,0.050366878509521484,0.2976064682006836,1.1747994422912598,75.92,76.46310270434472,72.11999999999999,0.4723665527410147
50,76.69,77.33546581990936,0.06186938285827637,0.35683488845825195,1.1388864517211914,76.08,77.35093882851262,77.32,0.4723665527410147
60,72.42,80.2953737688112,0.07692456245422363,0.4197268486022949,1.1556521654129028,72.78,78.08011946182691,82.64,0.4723665527410147
70,80.25999999999999,83.07108876134858,0.08870267868041992,0.481656551361084,1.0647251605987549,79.5,78.95495353234317,87.64,0.4723665527410147
80,79.35,84.76722403899171,0.10633134841918945,0.5450050830841064,1.099768877029419,78.86,79.30313450691403,91.03999999999999,0.4723665527410147
90,75.08,86.33517366211181,0.12314176559448242,0.6086750030517578,1.1324827671051025,75.88000000000001,79.99999863481231,93.76,0.4723665527410147
100,81.66,87.0890712472416,0.1371297836303711,0.6687805652618408,1.0055187940597534,81.26,80.50933649389921,94.84,0.4723665527410147
110,80.78,87.52751154005153,0.14591240882873535,0.7239735126495361,1.0279535055160522,81.34,80.82655689656914,95.44,0.4723665527410147
120,82.49,87.6792925551075,0.15675997734069824,0.786064624786377,0.9964506030082703,82.16,81.14363374500282,95.36,0.4723665527410147
130,82.80999999999999,87.8514965823924,0.16853976249694824,0.849083662033081,0.977967381477356,83.06,81.26487451096779,95.6,0.4723665527410147
140,76.39,87.92341548324879,0.17863202095031738,0.9028406143188477,1.0970326662063599,77.44,81.44611048011407,95.52000000000001,0.4723665527410147
150,81.87,88.10750973781346,0.19063615798950195,0.9644777774810791,0.9698150157928467,82.8,81.61664253723325,95.72,0.4723665527410147
160,79.74,88.2417974367182,0.2034318447113037,1.0229110717773438,1.0610344409942627,80.88,81.81818042005841,95.76,0.4723665527410147
170,76.7,88.21250560694011,0.21641850471496582,1.0808875560760498,1.1571780443191528,77.82,81.85552752729325,95.64,0.4723665527410147
180,82.01,88.15375954581796,0.22603750228881836,1.1384332180023193,0.9718211889266968,83.1,81.93060663121594,95.39999999999999,0.4723665527410147
